iter	Passed	Remaining
0	1	194
1	3	167
2	4	156
3	6	144
4	7	146
5	9	144
6	10	142
7	12	139
8	13	137
9	15	136
10	16	135
11	18	132
12	19	130
13	21	129
14	22	127
15	23	125
16	25	123
17	26	121
18	27	119
19	29	118
20	30	116
21	32	115
22	34	114
23	35	112
24	37	111
25	38	109
26	40	108
27	41	107
28	43	105
29	44	104
30	46	102
31	47	101
32	49	99
33	50	98
34	52	97
35	53	95
36	55	94
37	56	92
38	58	91
39	59	89
40	61	88
41	62	85
42	63	84
43	65	83
44	66	81
45	68	80
46	69	78
47	71	77
48	72	75
49	74	74
50	75	72
51	77	71
52	78	69
53	80	68
54	81	66
55	82	64
56	84	63
57	85	61
58	86	60
59	88	58
60	89	57
61	91	55
62	92	54
63	94	53
64	95	51
65	97	50
66	99	48
67	100	47
68	102	45
69	103	44
70	105	42
71	106	41
72	108	40
73	110	38
74	111	37
75	113	35
76	115	34
77	116	32
78	118	31
79	120	30
80	122	28
81	124	27
82	125	25
83	127	24
84	128	22
85	130	21
86	131	19
87	133	18
88	135	16
89	136	15
90	138	13
91	139	12
92	141	10
93	143	9
94	144	7
95	146	6
96	147	4
97	149	3
98	150	1
99	152	0
